respondent_id,I enjoy being around old people.,I fear that when I am old all of my friends will be gone.,I like to go visit my older relatives.,I have never lied about my age in order to appear younger.,I fear it will be very hard for me to find contentment in old age.,"The older I become, the more I worry about my health.",I will have plenty to occupy my time when I am old.,I get nervous when I think about someone else making decisions for me when I am old.,It doesn't bother me at all to imagine myself as being old.,I enjoy talking with old people.,I expect to feel good about life when I am old.,I have never dreaded the day I would look in the mirror and see gray hairs.,I feel very comfortable when I am around an old person.,I worry that people will ignore me when I am old.,I have never dreaded looking old.,I believe that I will still be able to do most things for myself when I am old.,I am afraid that there will be no meaning in life when I am old.,I expect to feel good about myself when I am old.,I enjoy doing things for old people.,"When I look in the mirror, it bothers me to see how my looks have changed with age."
R_3EnDhjYxbZIt58X,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_2EoZ733WKg6doAv,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_1OHUdCeYKQZvkmX,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
R_1IuC2FSNQuGlIGi,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
R_3QQyGMHNidnKWL5,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree
R_22wWji6CminVBwE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_1Ih0tsfBlk10kth,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree
R_3GeJ5XQqlZr5kjN,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree
R_1esk2bulMAoXSUz,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
R_1jBpW6h69wqMoTx,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree
R_1jcwRAAn5Tl7d0U,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_3dY7S4NOU6ujkTy,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
R_2pL9kPMoCB1wxz3,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
R_zVxdJQOagFPifId,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_2wnwMuewYwy1HVt,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree
R_xbK4ZnriRkBDbH3,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree
R_WfcnY7pMKYuldVT,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree
R_3FJ97NiJ11iJcX6,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_2xL5FKlxIlDqKqa,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
R_udYsqAJwgPJcfFT,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_1NbvGjZ0lrkjoK6,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree
R_SC3oERhqSjMzVPH,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree
R_z6fEHG738MExcWZ,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_10SrHrBW5eAx3S8,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree
R_2QnrCUOQ8KNS9hU,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
R_RzCxnGd7RXTeEuJ,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
R_1erFgd7LkDX74Pk,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
R_9Hodl7x8sLm2049,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_2xwSlWa05YTKMOa,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_NVCnWiSgWUeJsgF,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
R_1qdZdf3MRn8mMnZ,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
R_2sSDPmSWlITdwSF,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
R_1OPmCvE4FTZM9hV,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree
R_2WIJuuVs9wXCh3i,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree
R_AhXUPgJ7V7AQPtv,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree
R_x94scc770khb7j3,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree
R_1rky8mUIysGZUv0,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
R_3NPbjUZtcEoDJvc,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
R_RXKhNMntYqkG60F,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree
R_1P2kjLFwGrWxDR9,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
R_1k0pIlBojXOXzFO,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree
R_26eUtQBXwlGV51o,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree
R_2Ys55e6Q3ourhWQ,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
R_10Nkrhg0DzsDILg,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_1hVVnUMne6MqLcL,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
R_2e3USo6mZauDtQ3,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
R_PMbteIVkWCRdiuZ,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
R_302HggpPdr0l6FP,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
R_ezFDApHgZngVlDj,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
R_2DYnzijIIK3QlG4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_qUPRLm58uTI7ikF,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
R_3h9m5CoCzxiiIzQ,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree
R_2qdYoIHhFklZNMm,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
R_3EzF3DnZbmGldE8,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_1fecmZb9Lw3O8Of,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_1JIsOd1FybvxrHM,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree
R_WqzTVaucDFarTSp,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_11aUBJlzwmAC6EU,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
R_2PAoqFFMuHdnbfk,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
R_BM6pOWvYoMIw4nf,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
R_2rMFAq4Grjkkxqx,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
R_3fiYTnZ5nOepYYD,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree
R_29mkdYpuVxjFIIl,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree
R_BRCYe34MBsp9tkt,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_3LZtC0GtZQHyim1,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_1gONmkM3V1Rinhv,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_1FzlCCTvz8u0Vqc,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
R_poVtJk48V8H52vv,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
R_qXuAubMCiyHftXX,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_3q9cfaKi1FrzNXq,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
R_shxOWt2IXdaWF3z,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
R_2zu0HLXCJXNeK7f,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
R_2SrdIbHNBexuD3o,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
