respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_PMbteIVkWCRdiuZ,Yes,A great deal,Somewhat disagree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_302HggpPdr0l6FP,Yes,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_ezFDApHgZngVlDj,Yes,A great deal,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2DYnzijIIK3QlG4,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_qUPRLm58uTI7ikF,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,Yes
R_3h9m5CoCzxiiIzQ,Yes,Nothing,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2qdYoIHhFklZNMm,Yes,Some,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,Yes,No,No
R_3EzF3DnZbmGldE8,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_1fecmZb9Lw3O8Of,No,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1JIsOd1FybvxrHM,Yes,Nothing,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_WqzTVaucDFarTSp,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_11aUBJlzwmAC6EU,Yes,Some,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2PAoqFFMuHdnbfk,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_BM6pOWvYoMIw4nf,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2rMFAq4Grjkkxqx,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3fiYTnZ5nOepYYD,Yes,A little,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Yes,No,Yes,Yes,Not very acceptable,Somewhat acceptable,Very acceptable,No,No,No
R_29mkdYpuVxjFIIl,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,No,No
R_BRCYe34MBsp9tkt,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3LZtC0GtZQHyim1,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Yes,No,No,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_1gONmkM3V1Rinhv,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Not at all acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1FzlCCTvz8u0Vqc,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,No,Very acceptable,Not very acceptable,Very acceptable,No,Yes,Yes
R_poVtJk48V8H52vv,Yes,Some,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_qXuAubMCiyHftXX,No,Nothing,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_3q9cfaKi1FrzNXq,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_shxOWt2IXdaWF3z,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Not at all acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2zu0HLXCJXNeK7f,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2SrdIbHNBexuD3o,Yes,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_24r5IFQfA2w8h4N,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,No,No
R_3s17FTjdxpfUMu4,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,Yes,Yes,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,Yes
R_BqRHjIOmN3Goty1,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2VwgdQkXVXZvLtV,Yes,A great deal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_6nZyoAkJlcIVobL,Yes,A little,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2OHWYfJZEABYMON,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,Yes
R_1JCRBK7hR2KW4Mk,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Strongly Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1cTIF3Kr7ojhG66,Yes,A little,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_zd3fPzXj0QOpXhf,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_1N2LPpNSfhjpdV8,Yes,Nothing,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1OJ0tizceWyZX2p,No,Some,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Somewhat acceptable,Not at all acceptable,No,No,No
R_2taWXUmopbWS0nf,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_3mn1u4b0rjxugpr,No,A great deal,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,Yes,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,No
R_3NP6EPoSsoVipsE,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Very acceptable,Somewhat acceptable,Yes,Yes,Yes
R_2xPGDYvKN3dRWix,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3kjpeq5scniCEgv,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_8kMjn93SFou1bln,No,A little,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3ltajVCpiRBmJoi,No,Some,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,Yes
R_2uO3CVIqP7GdPfV,No,A great deal,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_YYOkoFDTMiqIGGt,Yes,Some,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_qPEdVQN41kRWdkB,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_1Fs3sPZPdKfZayh,Yes,A great deal,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1IlVxyCf62k133i,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_1eFOt474tYiUiRu,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2vcbhDrxB86IIRD,Yes,Some,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,Very acceptable,Not at all acceptable,Not at all acceptable,No,No,Yes
R_qWoAwMB4lEZpkIN,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3Otx1iT9EcBiGt3,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_10SMrJ6stjTxt1E,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_ANh6iAuxAQvY4yl,Yes,Some,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_dbTw4QQpM2269gZ,Yes,Nothing,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_R3N8n4Sd1jTxI41,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Yes,Yes,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1diUrRKi5bG9oGk,No,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3p6knvOPzaJkCdA,Yes,Some,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_10GdXYlirLY411u,No,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_3oXE1l2u5h1QEQV,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_tFG8EqAztnIQs01,No,Some,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,Yes,Yes,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_3NwXiA6iFCIUODC,Yes,Some,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_a9SAEeLkvGIqVl7,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_esTEbArqRGWl1Tz,No,A little,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_2uJ1muQn8hB4SKq,Yes,A little,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_dhbKNicUdI0YWDT,No,Some,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_svsovDyWtOdoCEp,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,No,Yes,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3iP5p6LNMwv7D4R,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,Yes
R_Ti8VOCLSo4oYnoB,Yes,Some,Strongly agree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,Yes
R_12yfwoch3PmyMY5,Yes,Some,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,Yes,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_BX2s3hMKzyY5IDT,Yes,A great deal,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_2ASG2R1PEjw1S4G,Yes,Some,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Yes,No,No,Yes,Not very acceptable,Somewhat acceptable,Not very acceptable,No,Yes,No
R_6yZn03BcMO6FlOF,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3R4yB86C1q3ijlw,Yes,Some,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2A0iMZ2f4ZSHFZH,No,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_ueNLUW2eyasQ8Vz,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Yes,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_3Gj1MqDsDnM11f7,Yes,A great deal,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2OTiGS8sGbcp2Qg,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Very acceptable,No,No,No
R_1rNsch0uURA2TFr,Yes,Some,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_qRvw26WkDlszHFf,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_3HFi9MluYuWLsKC,No,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_2TL9CyL8IOwdIO7,Yes,A little,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_71h71JKKxawMLpD,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3WZF2V7wy17iTuh,Yes,A great deal,Strongly disagree,Somewhat disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2ylJ6F4iGw2SuXm,Yes,Some,Neither agree nor disagree,Somewhat agree,Strongly Agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3HnaX9fiH0kR9sV,No,A little,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_bCbeKzyQsdbzR2F,Yes,Some,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3freJeicsQGWNpG,Yes,A great deal,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_cusjbM7MK9nNVOF,Yes,Some,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1gLNJgBJQ43m3rc,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_10u8eHsVJIqaaJx,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_bDebaxTDLqoj4yZ,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_9SSXrcdlGd1WpCV,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3dOZlSVbZvXOUPT,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,No,Yes,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_9M0TLkPnmHoV8VH,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Yes,No,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_3HIapLftZBPYnAy,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_3ksQt5miPNZItRn,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3L4P59QWi4Lta2Z,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1oaHxX0UgalEuxT,Yes,A little,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_cC20hRue5Oy1EYN,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3oTnUEAzj5nrjg9,Yes,A little,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Very acceptable,Not at all acceptable,Very acceptable,No,No,No
R_2qdFc27PDqiP2NE,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_1NqtSyq3t6Ny5Kk,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_1hX8X1U2mgkXkWV,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2ASE80Ogw5BkDeP,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1IGZVZRmpg4HPZL,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1gRqIxYPQ4kJAdg,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_2cCNt7Ep8p2GkNM,Yes,A little,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
